admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,Pop_2019,Pop_2020,F_00_04_2019,M_00_04_2019,F_05_19_2019,M_05_19_2019,F_adulte_2019,M_adulte_2019,F_agee_2019,M_agee_2019,T_00_04_2019,T_05_19_2019,T_adulte_2019,T_agee_2019,F_2019,M_2019,T_2019,F_00_04_2020,M_00_04_2020,F_05_19_2020,M_05_19_2020,F_adulte_2020,M_adulte_2020,F_agee_2020,M_agee_2020,T_00_04_2020,T_05_19_2020,T_adulte_2020,T_agee_2020,F_2020,M_2020,T_2020
Bas-Uele,CD52,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,1234204,1263826,94293,98984,213886,224563,280658,271464,28448,22832,193277,438449,552122,51280,617285,617843,1235128,96557,101359,219021,229953,287394,277979,29131,23381,197916,448974,565373,52512,609165,654661,1263826
Equateur,CD41,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2380106,2449130,211949,220398,445554,460313,484828,473878,47960,34273,432347,905867,958706,82233,1190291,1188862,2379153,218095,226788,458477,473660,498888,487622,49350,35267,444883,932137,986510,84617,1224568,1224568,2449136
Haut-Katanga,CD71,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,5873474,6102542,615247,627286,1179687,1201127,1075139,1053113,67251,56092,1242533,2380814,2128252,123343,2937324,2937618,5874942,639241,651752,1225695,1247971,1117071,1094186,69876,58278,1290993,2473666,2211257,128154,3057372,3045170,6102542
Haut-Lomami,CD73,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,3921396,4074329,410766,418806,787613,801926,717811,703106,44901,37450,829572,1589539,1420917,82351,1961091,1961288,3922379,426787,435139,818329,833199,745805,730528,46651,38909,861926,1651528,1476333,85560,2139023,1935306,4074329
Haut-Uele,CD53,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,1784156,1826974,136309,143091,309194,324626,405717,392426,41124,33006,279400,633820,798143,74130,892344,893149,1785493,139580,146523,316615,332418,415454,401843,42112,33799,286103,649033,817297,75911,942719,884255,1826974
Ituri,CD54,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,5480394,5611925,418701,439527,949751,997158,1246242,1205412,126323,101388,858228,1946909,2451654,227711,2741017,2743485,5484502,428751,450076,972546,1021089,1276152,1234343,129354,103820,878827,1993635,2510495,233174,2850858,2761067,5611925
Kasaï,CD92,Kasai,<Null>,<Null>,République démocratique du Congo (la),CD,4357869,4492960,390683,406589,853489,882904,856539,829956,76480,60138,797272,1736393,1686495,136618,2177191,2179587,4356778,402794,419192,879946,910273,883091,855684,78851,62002,821986,1790219,1738775,140853,2219522,2273438,4492960
Kasaï-Central,CD91,Kasai-Central,<Null>,<Null>,République démocratique du Congo (la),CD,4644460,4788439,416376,433328,909618,940967,912869,884539,81510,64094,849704,1850585,1797408,145604,2320373,2322928,4643301,429284,446761,937815,970136,941168,911958,84038,66081,876045,1907951,1853126,150119,2475624,2312815,4788439
Kasaï-Oriental,CD82,Kasai-Oriental,<Null>,<Null>,République démocratique du Congo (la),CD,5230266,5413325,525119,537672,1027224,1057559,983552,967077,79502,51518,1062791,2084783,1950629,131020,2615397,2613826,5229223,543498,556490,1063177,1094575,1017976,1000924,82283,53323,1099988,2157752,2018900,135606,2668771,2744554,5413325
Kinshasa,CD10,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,9479257,9924784,988687,994374,1841346,1862200,1843242,1830445,65407,52136,1983061,3703546,3673687,117543,4738682,4739155,9477837,1035155,1041110,1927889,1949724,1929874,1916476,68481,54586,2076265,3877613,3846350,123067,5220436,4704348,9924784
