,FID,vid,cid,id,source,project,pcode,name,date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
4703,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e64,4704,80,80,Third-party,PAX,codmine03536,Sambia,2020,1,Third-party information,POINT (29.40816 3.50589),29.40816,3.50589,Approximation,Haut-Uele,orientale,Dungu,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e63,4705,81,81,Third-party,PAX,codmine03537,Nvudhu,2020,1,Third-party information,POINT (29.972385101 3.1435994474),29.9723851,3.14359945,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e62,4706,82,82,Third-party,PAX,codmine03538,Dri,2020,1,Third-party information,POINT (29.9474541607 3.1603673057),29.94745416,3.16036731,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4706,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e61,4707,83,83,Third-party,PAX,codmine03539,Dradra,2020,1,Third-party information,POINT (29.9196263192 3.1283168465),29.91962632,3.12831685,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4707,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e60,4708,84,84,Third-party,PAX,codmine03540,Bilivango (Karagba),2020,1,Third-party information,POINT (29.9178466315 3.1412874862),29.91784663,3.14128749,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4708,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e5f,4709,85,85,Third-party,PAX,codmine03541,Parquet,2020,1,Third-party information,POINT (30.0181396206 3.1474211002),30.01813962,3.1474211,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e5e,4710,86,86,Third-party,PAX,codmine03542,Laboda,2020,1,Third-party information,POINT (30.0256734884 3.0140973431),30.02567349,3.01409734,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4710,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e5d,4711,87,87,Third-party,PAX,codmine03543,Union fait la force,2020,1,Third-party information,POINT (29.9470450388 3.1746077344),29.94704504,3.17460773,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4711,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e5c,4712,88,88,Third-party,PAX,codmine03544,Souvenir,2020,1,Third-party information,POINT (29.9469348559 3.1674432437),29.94693486,3.16744324,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6e5b,4713,89,89,Third-party,PAX,codmine03545,Buma,2020,1,Third-party information,POINT (29.9559415926 3.1389210817),29.95594159,3.13892108,Approximation,Haut-Uele,orientale,Faradje,,,,,,,0,1,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
