Unnamed: 0,id,alert_id,movement_date,date,evaluation_date,household,Pop_2020,population_id,population_label,health_zone_id,health_zone_label,hebergement_id,hebergement_label,cause_id,cause_label,admin1_id,province,admin2_id,admin2_label,admin2_type,admin3_id,admin3_label,admin4_id,admin4_label,admin5_id,admin5_label,admin1_id_from,admin1_label_from,admin2_id_from,admin2_label_from,admin2_type_from,admin3_id_from,admin3_label_from,admin4_id_from,admin4_label_from,admin5_id_from,admin5_label_from,hz_id_from,hz_label_from,site,mois-evaluation,annee-evaluation,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,Pop_2019,F_00_04_2019,M_00_04_2019,F_05_19_2019,M_05_19_2019,F_adulte_2019,M_adulte_2019,F_agee_2019,M_agee_2019,T_00_04_2019,T_05_19_2019,T_adulte_2019,T_agee_2019,F_2019,M_2019,T_2019,F_00_04_2020,M_00_04_2020,F_05_19_2020,M_05_19_2020,F_adulte_2020,M_adulte_2020,F_agee_2020,M_agee_2020,T_00_04_2020,T_05_19_2020,T_adulte_2020,T_agee_2020,F_2020,M_2020,T_2020,_merge
1307.0,252133.0,,42522.0,2020.0,2020-02-14,12.0,72,1.0,Déplacé,CD7404ZS01,Kansimba,2.0,Famille d'accueil,2.0,"Conflits fonciers, intercommunautaires",CD74,Tanganyika,CD7404,Moba,3.0,CD740402,Kansabala,CD74040204,Lungu - lungu,CD740402040001,Mulamina,CD74,Tanganyika,CD7404,Moba,3.0,,,,,,,CD7404ZS01,Kansimba,,février,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1737.0,257106.0,3418.0,43810.0,2020.0,2020-05-11,3335.0,16693,1.0,Déplacé,CD7207ZS02,Kapanga,2.0,Famille d'accueil,2.0,"Conflits fonciers, intercommunautaires",CD72,Lualaba,CD7207,Kapanga,3.0,,,,,,,CD72,Lualaba,CD7207,Kapanga,3.0,,,,,,,CD7207ZS02,Kapanga,,mai,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1739.0,257117.0,3229.0,43841.0,2020.0,2020-06-09,6023.0,30115,1.0,Déplacé,CD6309ZS03,Saramabila,2.0,Famille d'accueil,1.0,"Attaques, affrontements armées",CD63,Maniema,CD6309,Kabambare,3.0,CD630906,B.b./ saramabila,CD63090601,Kitababeya,CD630906010025,Matete,CD63,Maniema,CD6309,Kabambare,3.0,CD630906,B.b./ saramabila,CD63090601,Kitababeya,CD630906010025,Matete,CD6309ZS03,Saramabila,,juin,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2687.0,261805.0,3621.0,44013.0,2020.0,2020-10-30,1824.0,9120,1.0,Déplacé,CD7109ZS01,Kilwa,2.0,Famille d'accueil,2.0,"Conflits fonciers, intercommunautaires",CD71,Haut-katanga,CD7109,Pweto,3.0,CD710901,Kiona-nzini,CD71090102,Kiona-nzini,CD710901020031,Kyona,CD71,Haut-katanga,CD7109,Pweto,3.0,,,,,,,CD7109ZS01,Kilwa,,octobre,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2689.0,261839.0,3678.0,44092.0,2020.0,2020-12-09,541.0,2706,1.0,Déplacé,CD8209ZS01,Bibanga,2.0,Famille d'accueil,2.0,"Conflits fonciers, intercommunautaires",CD82,Kasaï-oriental,CD8209,Katanda,3.0,CD820903,Baluba-lubilanji,CD82090301,Bena-kapuya,,,CD82,Kasaï-oriental,CD8209,Katanda,3.0,CD820903,Baluba-lubilanji,CD82090301,Bena-kapuya,,,CD8209ZS01,Bibanga,,décembre,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2691.0,261841.0,3678.0,44092.0,2020.0,2020-12-09,179.0,896,1.0,Déplacé,CD8106ZS01,Kalambayi Kabanga,2.0,Famille d'accueil,2.0,"Conflits fonciers, intercommunautaires",CD81,Lomami,CD8106,Ngandajika,3.0,,,,,,,CD82,Kasaï-oriental,CD8209,Katanda,3.0,CD820903,Baluba-lubilanji,CD82090301,Bena-kapuya,,,CD8209ZS01,Bibanga,,décembre,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
,,,,,,,1263826,,,,,,,,,,Bas-Uele,,,,,,,,,,,,,,,,,,,,,,,,,,CD52,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,1234204.0,94293.0,98984.0,213886.0,224563.0,280658.0,271464.0,28448.0,22832.0,193277.0,438449.0,552122.0,51280.0,617285.0,617843.0,1235128.0,96557.0,101359.0,219021.0,229953.0,287394.0,277979.0,29131.0,23381.0,197916.0,448974.0,565373.0,52512.0,609165.0,654661.0,1263826.0,right_only
,,,,,,,2449130,,,,,,,,,,Equateur,,,,,,,,,,,,,,,,,,,,,,,,,,CD41,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2380106.0,211949.0,220398.0,445554.0,460313.0,484828.0,473878.0,47960.0,34273.0,432347.0,905867.0,958706.0,82233.0,1190291.0,1188862.0,2379153.0,218095.0,226788.0,458477.0,473660.0,498888.0,487622.0,49350.0,35267.0,444883.0,932137.0,986510.0,84617.0,1224568.0,1224568.0,2449136.0,right_only
,,,,,,,6102542,,,,,,,,,,Haut-Katanga,,,,,,,,,,,,,,,,,,,,,,,,,,CD71,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,5873474.0,615247.0,627286.0,1179687.0,1201127.0,1075139.0,1053113.0,67251.0,56092.0,1242533.0,2380814.0,2128252.0,123343.0,2937324.0,2937618.0,5874942.0,639241.0,651752.0,1225695.0,1247971.0,1117071.0,1094186.0,69876.0,58278.0,1290993.0,2473666.0,2211257.0,128154.0,3057372.0,3045170.0,6102542.0,right_only
,,,,,,,4074329,,,,,,,,,,Haut-Lomami,,,,,,,,,,,,,,,,,,,,,,,,,,CD73,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,3921396.0,410766.0,418806.0,787613.0,801926.0,717811.0,703106.0,44901.0,37450.0,829572.0,1589539.0,1420917.0,82351.0,1961091.0,1961288.0,3922379.0,426787.0,435139.0,818329.0,833199.0,745805.0,730528.0,46651.0,38909.0,861926.0,1651528.0,1476333.0,85560.0,2139023.0,1935306.0,4074329.0,right_only
