province,"ISO
country numeric code","ISO
country code",Country,World region,Survey ,Year,MPI of the country,"Multidimensional Poverty Index
(MPI = H*A)","Headcount ratio: Population in multidimensional poverty
(H)","Intensity of deprivation among the poor
(A) ",Vulnerable to poverty ,poverty,Year of the survey,Population 2018,Population 2019,Population share by region,"Population size by 
region",Number of MPI poor by regionᵇ,"Total number of indicators included 
(out of ten)",Indicator (s) missing,pro_pov
Bas-Uélé,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.3493073715022464,70.25497913833514,49.71994523184541,26.59678819633851,36.3803272898588,84068.092,84068.092,86790.568,1.31221541165192,1138.879150390625,800.1193237304688,10,,30584.213546038496
Équateur,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.3481272052547357,74.7815556872363,46.55254922894764,19.95212962456762,34.00493997579882,84068.092,84068.092,86790.568,2.38672997332578,2071.45654296875,1549.0673828125,10,,28587.272938854552
Haut-Katanga,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.2884311144501918,55.40187528646802,52.0616157772265,20.9865920530024,29.787294123076656,84068.092,84068.092,86790.568,8.09170391725005,7022.8359375,3890.78271484375,10,,25041.582423388085
Haut-Lomami,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.3988636937914335,76.76984381255754,51.95577768339683,18.92146166675834,43.43220019807935,84068.092,84068.092,86790.568,2.01571056247145,1749.4466552734375,1343.0474853515625,10,,36512.58206252135
Haut-Uélé,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.3280053493017498,65.50611806553908,50.07247551649746,25.62929975005067,32.429289059234264,84068.092,84068.092,86790.568,1.94305708157573,1686.3902587890625,1104.6888427734375,10,,27262.654726317058
Ituri,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.3990149801118184,74.30054214782949,53.70283561564484,18.03594498963168,41.18491861156042,84068.092,84068.092,86790.568,3.74417720878046,3249.5927734375,2414.465087890625,10,,34623.33737836661
Kasaï,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.5250430817740276,93.58041613549725,56.106085381561634,5.94247250091391,71.04783773642083,84068.092,84068.092,86790.568,4.34676320694311,3772.58056640625,3530.396484375,10,,59728.49622825426
Kasaï-Central,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.4815596505094616,89.44480563983905,53.838749725559595,9.72095948966738,59.64997365998905,84068.092,84068.092,86790.568,3.62013249815269,3141.93359375,2810.29638671875,10,,50146.5398564796
Kasaï-Oriental,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.3953224709538408,74.48543350208806,53.07379609232703,16.38754343417212,43.29785749935194,84068.092,84068.092,86790.568,3.4207557705064997,2968.893310546875,2211.39306640625,10,,36399.64284255519
Kinshasa,180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2017-2018,0.3311887394457224,0.0683708787718059,16.20279242147945,42.19697259169298,17.86289188494247,3.2800524397324,84068.092,84068.092,86790.568,13.76812882971622,11949.4375,1936.142578125,10,,2757.474485034234
